GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0100000US,,United States,310M200US20100,20100,"United States - In metropolitan statistical area - Dover, DE Metro Area","Dover, DE Metro Area",162310,162313,162922,165189,167540,169416
0100000US,,United States,310M200US20220,20220,"United States - In metropolitan statistical area - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93887,94460,95062,95697
0100000US,,United States,310M200US20260,20260,"United States - In metropolitan statistical area - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279772,279896,279579,279887
0100000US,,United States,310M200US20500,20500,"United States - In metropolitan statistical area - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506656,508111,516116,525431,534578
0100000US,,United States,310M200US20700,20700,"United States - In metropolitan statistical area - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169842,169939,169822,168436,167148
0100000US,,United States,310M200US20740,20740,"United States - In metropolitan statistical area - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161151,161390,162582,163508,164570
0100000US,,United States,310M200US20940,20940,"United States - In metropolitan statistical area - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174750,175895,176768,176584
0100000US,,United States,310M200US21060,21060,"United States - In metropolitan statistical area - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148339,149897,151287,150460,151465
0100000US,,United States,310M200US21140,21140,"United States - In metropolitan statistical area - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197450,198526,199258,200563
0100000US,,United States,310M200US21300,21300,"United States - In metropolitan statistical area - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88830,88940,88939,89147,88506
0100000US,,United States,310M200US21340,21340,"United States - In metropolitan statistical area - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,807041,821850,831939,831036
0100000US,,United States,310M200US21500,21500,"United States - In metropolitan statistical area - Erie, PA Metro Area","Erie, PA Metro Area",280566,280566,280715,280921,280823,280294
0100000US,,United States,310M200US21660,21660,"United States - In metropolitan statistical area - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351715,351848,353495,354506,356212
0100000US,,United States,310M200US21780,21780,"United States - In metropolitan statistical area - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311552,311781,312605,313219,314280
0100000US,,United States,310M200US21820,21820,"United States - In metropolitan statistical area - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97581,98190,99276,100141,100436
0100000US,,United States,310M200US22020,22020,"United States - In metropolitan statistical area - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209400,212695,216785,223490
0100000US,,United States,310M200US22140,22140,"United States - In metropolitan statistical area - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130044,130161,128016,128340,126503
0100000US,,United States,310M200US22180,22180,"United States - In metropolitan statistical area - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366383,367728,373291,373506,377193
